hour_index,xuehua550,模板1,模板2,模板3,随机曲线1
84,507.241804,84.200688,84.200688,48.200688,208.996667
85,501.655638,82.930171,82.930171,46.930171,196.19
86,501.627911,82.686189,82.686189,46.686189,196.08
87,509.219255,83.475137,83.475137,47.475137,211.836667
88,530.036256,85.203004,85.203004,49.203004,230.026667
89,509.146945,87.647232,87.647232,51.647232,211.74
90,504.21563,90.304109,90.304109,54.304109,203.478333
91,513.508819,92.403782,92.403782,56.403782,216.88
92,515.60873,93.206581,93.206581,57.206581,218.98
93,502.597374,92.403669,92.403669,56.403669,199.39
94,501.801421,90.30315,90.30315,54.30315,196.75
95,501.13758,87.64084,87.64084,51.64084,193.9
96,501.194432,85.169067,85.169067,49.169067,194.18
97,501.004864,78.432919,78.432919,42.432919,193.21
98,502.143478,77.415865,77.415865,41.415865,197.96
99,500.717813,76.724768,76.724768,40.724768,191.49
100,501.12364,76.772721,76.772721,40.772721,193.83
101,501.194432,77.930353,77.930353,41.930353,194.18
102,500.790247,80.324358,80.324358,44.324358,191.96
103,512.169018,83.55594,83.55594,47.55594,215.43
104,501.79075,86.59519,86.59519,50.59519,196.71
105,500.915104,88.230011,88.230011,52.230011,192.71
106,513.385078,87.918826,87.918826,51.918826,216.75
107,523.343941,86.214864,86.214864,50.214864,225.455
108,512.429926,84.269443,84.269443,48.269443,215.72
109,511.321555,82.998926,82.998926,46.998926,214.46
110,512.213753,82.754944,82.754944,46.754944,215.48
111,502.786824,83.543892,83.543892,47.543892,199.94
112,515.787169,85.271759,85.271759,49.271759,219.15
113,526.133626,87.715987,87.715987,51.715987,227.45
114,502.35562,90.372864,90.372864,54.372864,198.65
115,502.113776,92.472537,92.472537,56.472537,197.86
116,504.37374,93.275336,93.275336,57.275336,203.82
117,503.693987,92.472424,92.472424,56.472424,202.29
118,501.145595,90.371905,90.371905,54.371905,193.94
119,500.855397,87.709595,87.709595,51.709595,192.36
120,501.686224,85.237822,85.237822,49.237822,196.31
121,501.032833,73.501593,73.501593,37.501593,193.36
122,500.774466,72.484538,72.484538,36.484538,191.86
123,500.878974,71.793441,71.793441,35.793441,192.5
124,500.420469,71.841395,71.841395,35.841395,189.158333
125,501.106531,72.999026,72.999026,36.999026,193.743333
126,500.253192,75.393031,75.393031,39.393031,187.333333
127,509.327136,78.624613,78.624613,42.624613,211.98
128,503.237637,81.663864,81.663864,45.663864,201.16
129,501.75722,83.298685,83.298685,47.298685,196.583333
130,519.69105,82.987499,82.987499,46.987499,222.6
131,513.413569,81.283538,81.283538,45.283538,216.78
132,501.160381,79.338117,79.338117,43.338117,194.013333
133,504.152657,78.0676,78.0676,42.0676,203.34
134,505.599652,77.823617,77.823617,41.823617,206.236667
135,532.495929,78.612565,78.612565,42.612565,231.543333
136,545.619017,80.340432,80.340432,44.340432,238.606667
137,547.856482,82.784661,82.784661,46.784661,239.676667
138,512.878748,85.441538,85.441538,49.441538,216.21
139,504.253088,87.54121,87.54121,51.54121,203.56
140,505.881283,88.344009,88.344009,52.344009,206.743333
141,501.634605,87.541097,87.541097,51.541097,196.106667
142,501.836382,85.440579,85.440579,49.440579,196.88
143,501.155663,82.778268,82.778268,46.778268,193.99
144,502.464844,80.306495,80.306495,44.306495,198.99
145,500.206455,73.570165,73.570165,37.570165,186.69
146,500.032308,72.55311,72.55311,36.55311,182.61
147,500.025455,71.862013,71.862013,35.862013,182.26
148,500.054084,71.909966,71.909966,35.909966,183.48
149,500.088065,73.067598,73.067598,37.067598,184.47
150,500.048718,75.461603,75.461603,39.461603,183.29
151,507.53079,78.693185,78.693185,42.693185,209.44
152,500.172974,81.732435,81.732435,45.732435,186.17
153,500.906418,83.367256,83.367256,47.367256,192.66
154,513.008835,83.056071,83.056071,47.056071,216.35
155,527.353373,81.352109,81.352109,45.352109,228.28
156,504.397188,79.406688,79.406688,43.406688,203.87
157,513.580535,78.136171,78.136171,42.136171,216.955
158,503.237637,77.892189,77.892189,41.892189,201.16
159,501.382425,78.681137,78.681137,42.681137,195.05
160,526.849465,80.409004,80.409004,44.409004,227.94
161,516.448851,82.853233,82.853233,46.853233,219.77
162,501.879994,85.51011,85.51011,49.51011,197.04
163,503.58974,87.609782,87.609782,51.609782,202.04
164,508.677236,88.412581,88.412581,52.412581,211.1
165,523.607881,87.609669,87.609669,51.609669,225.65
166,502.377852,85.50915,85.50915,49.50915,198.72
167,502.461587,82.84684,82.84684,46.84684,198.98
168,502.537193,80.375067,80.375067,44.375067,199.21
169,500.491258,78.638614,78.638614,42.638614,189.79
170,501.038486,77.621559,77.621559,41.621559,193.39
171,501.127612,76.930462,76.930462,40.930462,193.85
172,500.897785,76.978416,76.978416,40.978416,192.61
173,500.857068,78.136047,78.136047,42.136047,192.37
174,500.718062,80.530052,80.530052,44.530052,191.491667
175,516.665969,83.761634,83.761634,47.761634,219.97
176,501.22631,86.800885,86.800885,50.800885,194.333333
177,502.449667,88.435706,88.435706,52.435706,198.943333
178,540.747772,88.12452,88.12452,52.12452,236.156667
179,513.280935,86.420559,86.420559,50.420559,216.64
180,504.417573,84.475138,84.475138,48.475138,203.913333
181,501.898357,83.204621,83.204621,47.204621,197.106667
182,501.073452,82.960638,82.960638,46.960638,193.573333
183,501.631256,83.749586,83.749586,47.749586,196.093333
184,507.11801,85.477453,85.477453,49.477453,208.803333
185,517.560033,87.921682,87.921682,51.921682,220.776667
186,502.715802,90.578559,90.578559,54.578559,199.736667
187,501.429658,92.678231,92.678231,56.678231,195.256667
188,502.082382,93.48103,93.48103,57.48103,197.753333
189,501.688789,92.678118,92.678118,56.678118,196.32
190,504.520394,90.5776,90.5776,54.5776,204.13
191,501.254463,87.915289,87.915289,51.915289,194.466667
192,503.195229,85.443516,85.443516,49.443516,201.05
193,501.772171,78.706921,78.706921,42.706921,196.64
194,502.059516,77.689866,77.689866,41.689866,197.675
195,501.161731,76.998769,76.998769,40.998769,194.02
196,500.939703,77.046723,77.046723,41.046723,192.85
197,500.992894,78.204354,78.204354,42.204354,193.145
198,501.989025,80.598359,80.598359,44.598359,197.43
199,516.421837,83.829941,83.829941,47.829941,219.745
200,503.18181,86.869192,86.869192,50.869192,201.015
201,504.308509,88.504012,88.504012,52.504012,203.68
202,537.876952,88.192827,88.192827,52.192827,234.625
203,547.746883,86.488865,86.488865,50.488865,239.625
204,503.040262,84.543445,84.543445,48.543445,200.64
205,501.271192,83.272928,83.272928,47.272928,194.545
206,502.430779,83.028945,83.028945,47.028945,198.885
207,516.439843,83.817893,83.817893,47.817893,219.761667
208,523.162311,85.54576,85.54576,49.54576,225.32
209,517.922914,87.989989,87.989989,51.989989,221.096667
210,510.75859,90.646866,90.646866,54.646866,213.79
211,502.514029,92.746538,92.746538,56.746538,199.14
212,501.642998,93.549337,93.549337,57.549337,196.14
213,502.56049,92.746425,92.746425,56.746425,199.28
214,505.272082,90.645907,90.645907,54.645907,205.626667
215,508.531268,87.983596,87.983596,51.983596,210.896667
216,503.893657,85.511823,85.511823,49.511823,202.756667
217,502.897342,78.775065,78.775065,42.775065,200.25
218,500.834413,77.75801,77.75801,41.75801,192.233333
219,501.077955,77.066913,77.066913,41.066913,193.596667
220,502.516229,77.114867,77.114867,41.114867,199.146667
221,500.483845,78.272499,78.272499,42.272499,189.726667
222,501.40135,80.666503,80.666503,44.666503,195.133333
223,517.440113,83.898085,83.898085,47.898085,220.67
224,502.716957,86.937336,86.937336,50.937336,199.74
225,503.698196,88.572157,88.572157,52.572157,202.3
226,530.025713,88.260971,88.260971,52.260971,230.02
227,530.630386,86.55701,86.55701,50.55701,230.4
228,509.087375,84.611589,84.611589,48.611589,211.66
229,502.188522,83.341072,83.341072,47.341072,198.11
230,501.522342,83.097089,83.097089,47.097089,195.65
231,517.028156,83.886037,83.886037,47.886037,220.3
232,546.642212,85.613904,85.613904,49.613904,239.1
233,527.234273,88.058133,88.058133,52.058133,228.2
234,507.224649,90.71501,90.71501,54.71501,208.97
235,510.858088,92.814682,92.814682,56.814682,213.91
236,507.676857,93.617481,93.617481,57.617481,209.66
237,502.500853,92.814569,92.814569,56.814569,199.1
238,503.664608,90.714051,90.714051,54.714051,202.22
239,503.191391,88.05174,88.05174,52.05174,201.04
240,504.677439,85.579967,85.579967,49.579967,204.455
241,503.765955,78.843026,78.843026,42.843026,202.46
242,501.785429,77.825972,77.825972,41.825972,196.69
243,502.793872,77.134874,77.134874,41.134874,199.96
244,501.796081,77.182828,77.182828,41.182828,196.73
245,503.137969,78.34046,78.34046,42.34046,200.9
246,505.401257,80.734464,80.734464,44.734464,205.87
247,524.473469,83.966047,83.966047,47.966047,226.28
248,505.332,87.005297,87.005297,51.005297,205.74
249,508.167372,88.640118,88.640118,52.640118,210.38
250,559.968138,88.328932,88.328932,52.328932,244.98
251,563.889754,86.624971,86.624971,50.624971,246.55
252,516.644176,84.67955,84.67955,48.67955,219.95
253,512.330549,83.409033,83.409033,47.409033,215.61
254,514.534821,83.165051,83.165051,47.165051,217.93
255,521.001562,83.953999,83.953999,47.953999,223.66
256,519.425715,85.681866,85.681866,49.681866,222.38
257,559.617907,88.126094,88.126094,52.126094,244.836667
258,514.230251,90.782971,90.782971,54.782971,217.623333
259,503.422834,92.882644,92.882644,56.882644,201.63
260,502.943284,93.685443,93.685443,57.685443,200.376667
261,506.605811,92.882531,92.882531,56.882531,207.98
262,501.830076,90.782012,90.782012,54.782012,196.856667
263,502.368308,88.119702,88.119702,52.119702,198.69
264,503.139234,85.647929,85.647929,49.647929,200.903333
265,505.115534,78.910785,78.910785,42.910785,205.326667
266,503.818718,77.89373,77.89373,41.89373,202.583333
267,503.006894,77.202633,77.202633,41.202633,200.55
268,502.668715,77.250586,77.250586,41.250586,199.6
269,502.550489,78.408218,78.408218,42.408218,199.25
270,508.278992,80.802223,80.802223,44.802223,210.54
271,527.323567,84.033805,84.033805,48.033805,228.26
272,516.459664,87.073055,87.073055,51.073055,219.78
273,506.14168,88.707876,88.707876,52.707876,207.198333
274,541.778674,88.396691,88.396691,52.396691,236.69
275,535.569795,86.692729,86.692729,50.692729,233.34
276,504.141341,84.747308,84.747308,48.747308,203.315
277,504.611793,83.476791,83.476791,47.476791,204.32
278,504.857873,83.232809,83.232809,47.232809,204.82
279,510.958165,84.021757,84.021757,48.021757,214.03
280,585.946468,85.749624,85.749624,49.749624,254.4075
281,542.380468,88.193853,88.193853,52.193853,236.9975
282,505.642624,90.85073,90.85073,54.85073,206.315
283,507.545647,92.950402,92.950402,56.950402,209.4625
284,504.143226,93.753201,93.753201,57.753201,203.319167
285,507.772978,92.950289,92.950289,56.950289,209.803333
286,507.694683,90.84977,90.84977,54.84977,209.686667
287,503.847432,88.18746,88.18746,52.18746,202.65
288,505.397692,85.715687,85.715687,49.715687,205.863333
289,504.256155,73.97832,73.97832,37.97832,203.566667
290,507.401711,72.961265,72.961265,36.961265,209.243333
291,506.077113,72.270168,72.270168,36.270168,207.086667
292,502.632326,72.318121,72.318121,36.318121,199.493333
293,503.653454,73.475753,73.475753,37.475753,202.193333
294,504.204205,75.869758,75.869758,39.869758,203.453333
295,528.373935,79.10134,79.10134,43.10134,228.956667
296,508.476636,82.14059,82.14059,46.14059,210.82
297,505.07172,83.775411,83.775411,47.775411,205.241667
298,524.00388,83.464226,83.464226,47.464226,225.94
299,542.918318,81.760264,81.760264,45.760264,237.27
300,504.453785,79.814844,79.814844,43.814844,203.99
301,500.832223,78.544327,78.544327,42.544327,192.22
302,503.103926,78.300344,78.300344,42.300344,200.81
303,517.710663,79.089292,79.089292,43.089292,220.91
304,556.272671,80.817159,80.817159,44.817159,243.44
305,524.417925,83.261388,83.261388,47.261388,226.24
306,501.362169,85.918265,85.918265,49.918265,194.96
307,502.116734,88.017937,88.017937,52.017937,197.87
308,502.689323,88.820736,88.820736,52.820736,199.66
309,504.621482,88.017824,88.017824,52.017824,204.34
310,507.379973,85.917305,85.917305,49.917305,209.21
311,506.096342,83.254995,83.254995,47.254995,207.12
312,507.071406,80.783222,80.783222,44.783222,208.73
313,505.987251,74.045612,74.045612,38.045612,206.93
314,503.85175,73.028557,73.028557,37.028557,202.66
315,505.35325,72.33746,72.33746,36.33746,205.78
316,507.703606,72.385413,72.385413,36.385413,209.7
317,504.458522,73.543045,73.543045,37.543045,204
318,505.101763,75.93705,75.93705,39.93705,205.3
319,521.535653,79.168632,79.168632,43.168632,224.08
320,520.488336,82.207882,82.207882,46.207882,223.25
321,504.704352,83.842703,83.842703,47.842703,204.51
322,547.588072,83.531518,83.531518,47.531518,239.55
323,535.16647,81.827556,81.827556,45.827556,233.11
324,509.678735,79.882136,79.882136,43.882136,212.44
325,501.515143,78.611619,78.611619,42.611619,195.62
326,502.390615,78.367636,78.367636,42.367636,198.76
327,518.949098,79.156584,79.156584,43.156584,221.98
328,553.723351,80.884451,80.884451,44.884451,242.34
329,538.216681,83.32868,83.32868,47.32868,234.81
330,505.947373,85.985557,85.985557,49.985557,206.86
331,503.593873,88.085229,88.085229,52.085229,202.05
332,508.084284,88.888028,88.888028,52.888028,210.26
333,510.779271,88.085116,88.085116,52.085116,213.815
334,509.062626,85.984597,85.984597,49.984597,211.626667
335,514.631673,83.322287,83.322287,47.322287,218.026667
336,508.752017,80.850514,80.850514,44.850514,211.203333
337,507.122257,79.112641,79.112641,43.112641,208.81
338,503.573235,78.095586,78.095586,42.095586,202
339,502.989683,77.404489,77.404489,41.404489,200.503333
340,502.768083,77.452442,77.452442,41.452442,199.886667
341,504.137573,78.610074,78.610074,42.610074,203.306667
342,504.506068,81.004079,81.004079,45.004079,204.1
343,525.773099,84.235661,84.235661,48.235661,227.2
344,500.991977,87.274911,87.274911,51.274911,193.14
345,510.200314,88.909732,88.909732,52.909732,213.103333
346,537.697156,88.598547,88.598547,52.598547,234.526667
347,529.413026,86.894585,86.894585,50.894585,229.63
348,503.46308,84.949165,84.949165,48.949165,201.73
349,501.371523,83.678648,83.678648,47.678648,195.001667
350,502.510731,83.434665,83.434665,47.434665,199.13
351,526.908441,84.223613,84.223613,48.223613,227.98
352,519.365728,85.95148,85.95148,49.95148,222.33
353,538.382648,88.395709,88.395709,52.395709,234.9
354,502.500853,91.052586,91.052586,55.052586,199.1
355,501.890998,93.152258,93.152258,57.152258,197.08
356,502.793872,93.955057,93.955057,57.955057,199.96
357,502.228041,93.152145,93.152145,57.152145,198.24
358,502.026235,91.051626,91.051626,55.051626,197.56
359,502.11082,88.389316,88.389316,52.389316,197.85
360,501.371711,85.917543,85.917543,49.917543,195.0025
361,501.831651,79.179387,79.179387,43.179387,196.8625
362,503.26578,78.162332,78.162332,42.162332,201.2325
363,501.863564,77.471235,77.471235,41.471235,196.98
364,501.515742,77.519189,77.519189,41.519189,195.6225
365,503.486357,78.67682,78.67682,42.67682,201.7875
366,506.343405,81.070825,81.070825,45.070825,207.5425
367,523.404684,84.302407,84.302407,48.302407,225.5
368,504.302715,87.341658,87.341658,51.341658,203.6675
369,504.104134,88.976479,88.976479,52.976479,203.2325
370,511.51901,88.665293,88.665293,52.665293,214.69
371,522.871567,86.961332,86.961332,50.961332,225.1025
372,511.004228,85.015911,85.015911,49.015911,214.085
373,501.299807,83.745394,83.745394,47.745394,194.6775
374,501.51994,83.501411,83.501411,47.501411,195.64
375,507.250391,84.290359,84.290359,48.290359,209.01
376,544.107644,86.018226,86.018226,50.018226,237.865
377,538.832102,88.462455,88.462455,52.462455,235.1425
378,504.942123,91.119332,91.119332,55.119332,204.9875
379,507.324724,93.219004,93.219004,57.219004,209.125
380,504.89297,94.021803,94.021803,58.021803,204.89
381,502.292826,93.218891,93.218891,57.218891,198.45
382,502.935393,91.118373,91.118373,55.118373,200.355
383,502.027675,88.456062,88.456062,52.456062,197.565
384,502.876637,85.984289,85.984289,49.984289,200.1925
385,502.514854,79.24583,79.24583,43.24583,199.1425
386,501.544674,78.228776,78.228776,42.228776,195.7425
387,501.961403,77.537678,77.537678,41.537678,197.3325
388,501.451901,77.585632,77.585632,41.585632,195.3525
389,502.241057,78.743264,78.743264,42.743264,198.2825
390,502.216595,81.137269,81.137269,45.137269,198.2025
391,527.02294,84.368851,84.368851,48.368851,228.0575
392,508.049822,87.408101,87.408101,51.408101,210.21
393,505.130192,89.042922,89.042922,53.042922,205.355
394,521.478023,88.731736,88.731736,52.731736,224.035
395,522.097782,87.027775,87.027775,51.027775,224.515
396,502.303737,85.082354,85.082354,49.082354,198.485
397,501.769527,83.811837,83.811837,47.811837,196.63
398,502.56383,83.567855,83.567855,47.567855,199.29
399,529.710518,84.356803,84.356803,48.356803,229.82
400,527.249143,86.08467,86.08467,50.08467,228.21
401,527.167424,88.528898,88.528898,52.528898,228.155
402,507.396273,91.185775,91.185775,55.185775,209.235
403,504.684769,93.285448,93.285448,57.285448,204.47
404,503.153174,94.088247,94.088247,58.088247,200.94
405,501.318926,93.285335,93.285335,57.285335,194.765
406,501.664523,91.184816,91.184816,55.184816,196.225
407,504.930753,88.522506,88.522506,52.522506,204.965
408,503.040262,86.050733,86.050733,50.050733,200.64
409,504.910579,79.311952,79.311952,43.311952,204.925
410,501.59676,78.294897,78.294897,42.294897,195.955
411,501.194432,77.6038,77.6038,41.6038,194.18
412,501.06608,77.651753,77.651753,41.651753,193.535
413,501.696499,78.809385,78.809385,42.809385,196.35
414,511.657645,81.20339,81.20339,45.20339,214.85
415,519.642638,84.434972,84.434972,48.434972,222.56
416,502.393813,87.474222,87.474222,51.474222,198.77
417,500.766651,89.109043,89.109043,53.109043,191.81
418,513.860102,88.797858,88.797858,52.797858,217.245
419,514.069695,87.093896,87.093896,51.093896,217.46
420,505.099183,85.148475,85.148475,49.148475,205.295
421,501.934024,83.877958,83.877958,47.877958,197.235
422,500.873888,83.633976,83.633976,47.633976,192.47
423,505.39591,84.422924,84.422924,48.422924,205.86
424,509.429471,86.150791,86.150791,50.150791,212.115
425,517.395277,88.595019,88.595019,52.595019,220.63
426,500.629231,91.251896,91.251896,55.251896,190.8725
427,501.775479,93.351569,93.351569,57.351569,196.6525
428,504.235862,94.154368,94.154368,58.154368,203.5225
429,500.678895,93.351456,93.351456,57.351456,191.225
430,501.171379,91.250937,91.250937,55.250937,194.0675
431,501.420054,88.588627,88.588627,52.588627,195.215
432,504.311988,86.116854,86.116854,50.116854,203.6875
433,502.847987,79.377731,79.377731,43.377731,200.1125
434,501.357693,78.360676,78.360676,42.360676,194.94
435,501.013669,77.669579,77.669579,41.669579,193.2575
436,501.300895,77.717532,77.717532,41.717532,194.6825
437,500.883227,78.875164,78.875164,42.875164,192.525
438,502.878434,81.269169,81.269169,45.269169,200.1975
439,533.914067,84.500751,84.500751,48.500751,232.385
440,503.314666,87.540001,87.540001,51.540001,201.3575
441,502.137516,89.174822,89.174822,53.174822,197.94
442,510.181673,88.863637,88.863637,52.863637,213.08
443,528.639168,87.159675,87.159675,51.159675,229.13
444,507.253613,85.214254,85.214254,49.214254,209.015
445,504.100762,83.943737,83.943737,47.943737,203.225
446,500.724183,83.699755,83.699755,47.699755,191.5325
447,503.009666,84.488703,84.488703,48.488703,200.5575
448,517.603256,86.21657,86.21657,50.21657,220.815
449,523.482445,88.660799,88.660799,52.660799,225.5575
450,508.247502,91.317676,91.317676,55.317676,210.495
451,505.171721,93.417348,93.417348,57.417348,205.435
452,506.071832,94.220147,94.220147,58.220147,207.0775
453,506.560349,93.417235,93.417235,57.417235,207.905
454,507.187745,91.316716,91.316716,55.316716,208.9125
455,504.550572,88.654406,88.654406,52.654406,204.193
456,504.550572,86.182633,86.182633,50.182633,204.193
457,506.872377,74.443148,74.443148,38.443148,208.413333
458,507.340946,73.426094,73.426094,37.426094,209.15
459,502.716957,72.734996,72.734996,36.734996,199.74
460,500.683957,72.78295,72.78295,36.78295,191.26
461,500.76821,73.940582,73.940582,37.940582,191.82
462,500.63302,76.334587,76.334587,40.334587,190.9
463,501.524746,79.566169,79.566169,43.566169,195.66
464,513.380333,82.605419,82.605419,46.605419,216.745
465,503.085115,84.24024,84.24024,48.24024,200.76
466,501.346544,83.929054,83.929054,47.929054,194.89
467,502.533875,82.225093,82.225093,46.225093,199.2
468,502.730841,80.279672,80.279672,44.279672,199.78
469,500.599101,79.009155,79.009155,43.009155,190.65
470,500.612527,78.765173,78.765173,42.765173,190.75
471,500.713338,79.554121,79.554121,43.554121,191.46
472,501.915907,81.281988,81.281988,45.281988,197.17
473,505.096605,83.726216,83.726216,47.726216,205.29
474,512.062078,86.383093,86.383093,50.383093,215.31
475,501.090237,88.482766,88.482766,52.482766,193.66
476,502.119695,89.285565,89.285565,53.285565,197.88
477,501.830975,88.482653,88.482653,52.482653,196.86
478,500.913362,86.382134,86.382134,50.382134,192.7
479,500.780754,83.719824,83.719824,47.719824,191.9
480,500.63717,81.248051,81.248051,45.248051,190.93
481,500.966518,74.508185,74.508185,38.508185,193
482,500.720806,73.491131,73.491131,37.491131,191.51
483,500.495977,72.800033,72.800033,36.800033,189.83
484,500.977378,72.847987,72.847987,36.847987,193.06
485,500.437927,74.005619,74.005619,38.005619,189.32
486,500.761986,76.399623,76.399623,40.399623,191.78
487,500.911623,79.631206,79.631206,43.631206,192.69
488,509.035452,82.670456,82.670456,46.670456,211.59
489,504.094023,84.305277,84.305277,48.305277,203.21
490,503.945346,83.994091,83.994091,47.994091,202.875
491,505.406608,82.29013,82.29013,46.29013,205.88
492,526.790571,80.344709,80.344709,44.344709,227.9
493,512.366628,79.074192,79.074192,43.074192,215.65
494,503.921268,78.83021,78.83021,42.83021,202.82
495,503.556778,79.619158,79.619158,43.619158,201.96
496,501.683662,81.347025,81.347025,45.347025,196.3
497,503.729861,83.791253,83.791253,47.791253,202.375
498,509.357384,86.44813,86.44813,50.44813,212.02
499,502.011872,88.547803,88.547803,52.547803,197.51
500,500.365528,89.350602,89.350602,53.350602,188.62
501,500.811064,88.54769,88.54769,52.54769,192.09
502,501.484196,86.447171,86.447171,50.447171,195.49
503,501.836382,83.784861,83.784861,47.784861,196.88
504,501.115723,81.313088,81.313088,45.313088,193.79
505,501.047949,79.572822,79.572822,43.572822,193.44
506,501.339883,78.555767,78.555767,42.555767,194.86
507,500.772899,77.86467,77.86467,41.86467,191.85
508,500.653941,77.912624,77.912624,41.912624,191.05
509,500.975563,79.070256,79.070256,43.070256,193.05
510,500.436834,81.46426,81.46426,45.46426,189.31
511,500.769771,84.695843,84.695843,48.695843,191.83
512,518.772292,87.735093,87.735093,51.735093,221.83
513,502.37626,89.369914,89.369914,53.369914,198.715
514,504.040366,89.058728,89.058728,53.058728,203.09
515,512.097658,87.354767,87.354767,51.354767,215.35
516,508.008591,85.409346,85.409346,49.409346,210.15
517,502.087268,84.138829,84.138829,48.138829,197.77
518,501.240336,83.894847,83.894847,47.894847,194.4
519,500.578008,84.683795,84.683795,48.683795,190.49
520,500.53476,86.411661,86.411661,50.411661,190.15
521,502.966426,88.85589,88.85589,52.85589,200.44
522,505.817527,91.512767,91.512767,55.512767,206.63
523,503.540369,93.612439,93.612439,57.612439,201.92
524,501.35993,94.415239,94.415239,58.415239,194.95
525,500.504303,93.612327,93.612327,57.612327,189.9
526,501.35993,91.511808,91.511808,55.511808,194.95
527,506.300569,88.849498,88.849498,52.849498,207.47
528,503.043984,86.377725,86.377725,50.377725,200.65
529,501.583174,79.63704,79.63704,43.63704,195.9
530,501.259431,78.619985,78.619985,42.619985,194.49
531,500.728323,77.928888,77.928888,41.928888,191.56
